filename,width,height,class,xmin,ymin,xmax,ymax
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic,288,322,309,390
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic,499,305,622,405
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic,497,481,557,540
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic,323,508,418,563
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic2,258,523,270,534
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic,131,463,190,506
121_png_jpg.rf.f095ec040050bac8a6937579320b1757.jpg,640,640,MicroPlastic3,410,427,443,457
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic,147,553,218,579
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic,413,220,476,340
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic3,287,315,326,341
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic3,103,434,137,459
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic3,398,428,430,456
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic3,509,322,545,351
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic2,295,571,305,580
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic2,354,395,364,403
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic2,150,418,157,425
154-b_png_jpg.rf.e1429f566e824f1f2015784b883503c5.jpg,640,640,MicroPlastic2,315,264,324,272
391-d_png_jpg.rf.8d22d2257f408e6fd8bfd459bd27fdc1.jpg,640,640,MicroPlastic3,297,308,332,335
391-d_png_jpg.rf.8d22d2257f408e6fd8bfd459bd27fdc1.jpg,640,640,MicroPlastic,115,344,282,389
391-d_png_jpg.rf.8d22d2257f408e6fd8bfd459bd27fdc1.jpg,640,640,MicroPlastic3,95,410,130,438
391-d_png_jpg.rf.8d22d2257f408e6fd8bfd459bd27fdc1.jpg,640,640,MicroPlastic3,389,430,424,455
391-d_png_jpg.rf.8d22d2257f408e6fd8bfd459bd27fdc1.jpg,640,640,MicroPlastic3,547,319,576,347
391-d_png_jpg.rf.8d22d2257f408e6fd8bfd459bd27fdc1.jpg,640,640,MicroPlastic2,177,523,185,529
111_png_jpg.rf.c08cd99e6022d66473052a7a698ef41e.jpg,640,640,MicroPlastic3,407,425,443,457
111_png_jpg.rf.c08cd99e6022d66473052a7a698ef41e.jpg,640,640,MicroPlastic,130,463,191,506
111_png_jpg.rf.c08cd99e6022d66473052a7a698ef41e.jpg,640,640,MicroPlastic,499,304,622,405
111_png_jpg.rf.c08cd99e6022d66473052a7a698ef41e.jpg,640,640,MicroPlastic,323,511,414,564
111_png_jpg.rf.c08cd99e6022d66473052a7a698ef41e.jpg,640,640,MicroPlastic2,257,524,266,535
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic3,397,429,429,454
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic3,287,316,328,341
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic3,514,322,544,352
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic,413,220,476,340
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic2,355,395,363,403
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic2,149,419,157,426
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic,148,554,217,580
168-b_png_jpg.rf.172fdc9170a8631c1aabd2b7fce8b1e4.jpg,640,640,MicroPlastic2,315,265,325,274
169-b_png_jpg.rf.542ddf376037cf5e36fb3c06ff05b7ac.jpg,640,640,MicroPlastic,144,553,218,580
169-b_png_jpg.rf.542ddf376037cf5e36fb3c06ff05b7ac.jpg,640,640,MicroPlastic,414,219,475,339
169-b_png_jpg.rf.542ddf376037cf5e36fb3c06ff05b7ac.jpg,640,640,MicroPlastic3,104,432,139,459
169-b_png_jpg.rf.542ddf376037cf5e36fb3c06ff05b7ac.jpg,640,640,MicroPlastic3,287,317,327,342
